name,course,hobby,comment
こったー,工学部<br />電気情報工学科,ナーヴギアでフルダイブする妄想をすること,名誉部長と呼んでください
よっしー,工学部<br>電気情報工学科,アニメ、ゲーム、漫画,プログラミングできるようになりたい
たかのり,工学部<br>電気情報工学科,ゲーム、資格、サイクリング,情弱です
naibmco,工学部<br>電気情報工学科,ゲーム、ペルソナシリーズ、人間観察,プログラミングスキルが皆無です。
タクレウス,工学部<br>電気情報工学科,まんがタイムきららキャラット、NEW GAME!、ゲーム,クソアプリ作りたい コンギョチョニダ
ろん,工学部<br>都市学科,バイオハザード お絵描き 心理学 経済学 偏った運動,腰が痛すぎる。
フミ,工学部<br>化学バイオ工学科,ゲーム（特にfortnite) 投資（fx) 漫画,なし
米田,工学部<br>電気情報工学科,主にゲーム その他は時によってころころ変わる,工学部の変人のぶっ飛び具合に戦慄
レイ,工学部<br>電気情報工学科,ゲーム、小説、ジョギング,なし
R4,経済学部,パソコンいじり,首がいたい
fimasu,工学部<br>電気情報工学科,ゲーム、VOCALOID,Unity難しいなぁ
