name,course,hobby,comment
よっしー,工学部<br>電気情報工学科,アニメ、ゲーム、漫画,プログラミングできるようになりたい
たかのり,工学部<br>電気情報工学科,ゲーム、資格、サイクリング,情弱です
naibmco,工学部<br>電気情報工学科,ゲーム、ペルソナシリーズ、人間観察,プログラミングスキルが皆無です。
タクレウス,工学部<br>電気情報工学科,まんがタイムきららキャラット、NEW GAME!、ゲーム,クソアプリ作りたい コンギョチョニダ
ろん,工学部<br>都市学科,バイオハザード お絵描き 心理学 経済学 偏った運動,腰が痛すぎる。
フミ,工学部<br>化学バイオ工学科,ゲーム（特にfortnite) 投資（fx) 漫画,なし
米田,工学部<br>電気情報工学科,主にゲーム その他は時によってころころ変わる,工学部の変人のぶっ飛び具合に戦慄
レイ,工学部<br>電気情報工学科,ゲーム、小説、ジョギング,なし
R4,経済学部,パソコンいじり,首がいたい
fimasu,工学部<br>電気情報工学科,ゲーム、VOCALOID,Unity難しいなぁ
ばる,工学部<br>電気情報工学科,ゲーム、マジック,彼女ほしい(二人目)
はむたろ～,工学部<br>電気情報工学科,ゲーム、漫画,うど純いいよね…
ひろ,工学部<br>電気情報工学科,アニメ、漫画、洋楽,マイコン１情弱
あゅ,経済学部,廃墟、ツイッター,タイピング速くなりたい
エイジ,経済学部,アニメ、ゲーム、漫画,麻雀教えて下さい
すか,工学部<br>電子物理工学科,ゲーム、アニメ,ドン勝したい
だい,工学部<br>電気情報工学科,散歩,バイクほちい
こにし,工学部<br>電気情報工学科,資格・投資・勉強・製作・輸入,IoT担当大臣
しゅーと,工学部<br>電気情報工学科,ゲーム,老害オブザイヤー受賞
まつもと,商学部,格ゲー・アイマス・VTuber,ときのそらです
zank,工学部<br>電気情報工学科,アニメ・ゲーム・漫画,働いたら負け
074,文学部,パンケーキ♡・instagram♡,最近幸せすぎか◟꒰◍´Д‵◍꒱◞
てっちゃん,工学部<br>電気情報工学科,麻雀,麻雀したーい
MaeMae,工学部<br>電気情報工学科,まえまえ、てぅいったー、ふぉーとないと,まえまえー
さとう,工学部<br>電気情報工学科,入力待ち,入力待ち
